Sr No,Fund Name,AmfiCode,Nav Date,Nav,Benchmark Name,Benchmark Value
833,Kotak Equity Opportunities Fund,120158,25-May-2016,82.675,Nifty LargeMidcap 250 TRI,4746.85
834,Kotak Equity Opportunities Fund,120158,26-May-2016,83.585,Nifty LargeMidcap 250 TRI,4808.83
835,Kotak Equity Opportunities Fund,120158,27-May-2016,84.77,Nifty LargeMidcap 250 TRI,4856.04
836,Kotak Equity Opportunities Fund,120158,30-May-2016,85,Nifty LargeMidcap 250 TRI,4881.48
837,Kotak Equity Opportunities Fund,120158,31-May-2016,84.683,Nifty LargeMidcap 250 TRI,4872.12
838,Kotak Equity Opportunities Fund,120158,01-Jun-2016,84.646,Nifty LargeMidcap 250 TRI,4870.8
839,Kotak Equity Opportunities Fund,120158,02-Jun-2016,85.311,Nifty LargeMidcap 250 TRI,4896.8
840,Kotak Equity Opportunities Fund,120158,03-Jun-2016,85.489,Nifty LargeMidcap 250 TRI,4884.74
841,Kotak Equity Opportunities Fund,120158,06-Jun-2016,85.457,Nifty LargeMidcap 250 TRI,4886.33
842,Kotak Equity Opportunities Fund,120158,07-Jun-2016,86.005,Nifty LargeMidcap 250 TRI,4924.15
843,Kotak Equity Opportunities Fund,120158,08-Jun-2016,86.261,Nifty LargeMidcap 250 TRI,4942.83
844,Kotak Equity Opportunities Fund,120158,09-Jun-2016,85.839,Nifty LargeMidcap 250 TRI,4921.24
845,Kotak Equity Opportunities Fund,120158,10-Jun-2016,85.451,Nifty LargeMidcap 250 TRI,4905.02
846,Kotak Equity Opportunities Fund,120158,13-Jun-2016,84.985,Nifty LargeMidcap 250 TRI,4870.93
847,Kotak Equity Opportunities Fund,120158,14-Jun-2016,85.014,Nifty LargeMidcap 250 TRI,4887.06
848,Kotak Equity Opportunities Fund,120158,15-Jun-2016,85.899,Nifty LargeMidcap 250 TRI,4928.54
849,Kotak Equity Opportunities Fund,120158,16-Jun-2016,85.324,Nifty LargeMidcap 250 TRI,4900.27
850,Kotak Equity Opportunities Fund,120158,17-Jun-2016,85.607,Nifty LargeMidcap 250 TRI,4915.26
851,Kotak Equity Opportunities Fund,120158,20-Jun-2016,86.082,Nifty LargeMidcap 250 TRI,4946.36
852,Kotak Equity Opportunities Fund,120158,21-Jun-2016,85.925,Nifty LargeMidcap 250 TRI,4949.28
853,Kotak Equity Opportunities Fund,120158,22-Jun-2016,85.795,Nifty LargeMidcap 250 TRI,4935.74
854,Kotak Equity Opportunities Fund,120158,23-Jun-2016,86.451,Nifty LargeMidcap 250 TRI,4955.15
855,Kotak Equity Opportunities Fund,120158,24-Jun-2016,85.069,Nifty LargeMidcap 250 TRI,4873.32
856,Kotak Equity Opportunities Fund,120158,27-Jun-2016,85.819,Nifty LargeMidcap 250 TRI,4901.8
857,Kotak Equity Opportunities Fund,120158,28-Jun-2016,86.276,Nifty LargeMidcap 250 TRI,4930.03
858,Kotak Equity Opportunities Fund,120158,29-Jun-2016,87.074,Nifty LargeMidcap 250 TRI,4982.9
859,Kotak Equity Opportunities Fund,120158,30-Jun-2016,87.733,Nifty LargeMidcap 250 TRI,5035.12
860,Kotak Equity Opportunities Fund,120158,01-Jul-2016,88.527,Nifty LargeMidcap 250 TRI,5072.97
861,Kotak Equity Opportunities Fund,120158,04-Jul-2016,89.08,Nifty LargeMidcap 250 TRI,5108.48
862,Kotak Equity Opportunities Fund,120158,05-Jul-2016,88.709,Nifty LargeMidcap 250 TRI,5096.94
